point,H [m],sigma 95% [mm]
100L,31.033,1.40
10S,35.614,0.21
11S,35.784,2.68
12S,40.159,0.20
13S,39.145,0.44
14S,30.178,0.09
15S,37.185,0.20
16S,42.816,2.48
17S,44.670,0.46
18S,37.936,1.06
19S,28.509,1.86
1S,36.411,1.78
20S,37.135,0.36
21S,37.725,0.53
22S,35.677,0.62
23S,30.315,0.09
24S,35.243,0.50
25S,37.468,1.30
26S,41.799,0.80
27S,39.679,0.87
28S,35.843,0.18
29S,38.294,1.00
2S,43.345,0.57
300PIK,22.337,0.13
30S,37.628,0.73
35S,38.709,1.02
36S,40.864,0.79
37S,39.889,0.66
38S,40.909,1.40
39S,29.643,0.44
3S,46.365,0.56
400,15.990,1.68
401,9.770,0.12
402,10.316,0.12
40S,38.221,0.91
41M,9.401,3.33
42M,26.714,1.10
43M,24.324,0.82
44M,27.648,2.90
45M,26.108,3.57
46M,30.170,0.06
47M,19.908,1.07
48M,14.058,0.78
49M,19.280,0.51
4S,41.255,1.95
50M,31.409,0.06
51M,30.139,0.81
52S,31.329,0.93
53M,29.248,0.50
54M,29.532,0.15
55M,36.758,0.26
56M,35.498,0.21
57M,23.528,9.65
58M,35.510,1.00
59M,35.840,0.67
5S,39.543,1.28
60M,32.787,1.31
61M,37.578,0.25
62L,13.882,0.57
63L,14.929,0.06
64L,13.040,0.06
65L,14.548,0.80
66L,19.959,2.55
67L,16.737,1.65
68L,9.362,1.35
69L,11.128,1.57
6S,35.800,1.04
70L,9.110,3.58
72L,11.556,1.22
73L,19.102,0.91
74L,16.366,0.75
75L,15.158,0.47
76L,17.012,0.32
77L,19.908,0.78
78L,3.449,0.94
79L,3.632,0.62
7S,32.619,0.60
80L,19.918,0.30
81L,18.183,0.27
82L,16.006,0.22
83L,21.110,0.31
84L,25.327,6.60
85L,18.567,0.38
86L,17.201,2.58
87L,17.649,2.92
88L,35.224,2.08
89L,36.101,2.52
8S,25.542,2.97
90L,27.963,1.23
91L,11.208,0.62
92L,33.698,0.60
93L,39.527,2.84
94L,38.505,7.04
95L,40.682,4.99
96L,35.651,0.21
97L,34.671,0.71
98L,35.729,0.74
99L,34.651,1.05
9S,27.544,1.90
